
==> Dump Arguments:
pruning method: intermittent
visible gpus: 7
sensitivity analysis: OFF
overall pruning ratio: 0.2
stage: 3

0
0

==> Setting params:
batch_size : 600
test_batch_size : 600
epochs : 500
lr_epochs : 500
lr : 0.0001
momentum : 0.9
weight_decay : 0.0001
no_cuda : False
seed : 1
log_interval : 100
arch : HAR
pretrained : saved_models/intermittent/HAR/stage_2.pth.tar
evaluate : False
retrain : False
prune : intermittent
prune_shape : vector
prune_target : None
stage : 3
debug : -1
candidates_pruning_ratios : [0.0, 0.0, 0.0, 0.0]
gpus : [0]
visible_gpus : 7
learning_rate_list : [0.0001]
sa : True
sen_ana : False
overall_pruning_ratio : 0.2
cuda : False
====================

Download HAR dataset ...
Download HAR dataset ...
HAR_CNN(
  (conv1): Conv2d(9, 18, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv1): ReLU()
  (pool1): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(18, 36, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv2): ReLU()
  (pool2): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv3): Conv2d(36, 72, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv3): ReLU()
  (pool3): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (ip1): Linear(in_features=1152, out_features=6, bias=True)
)
==> Start pruning ...
[3072, 2688, 2880, 322]
===> Starting Simulated Annealing...
[Iter 0] cur_temp: 100.00 | stop_temp: 20.00 | Loss: -inf | Best perf: -inf[Iter 1] cur_temp: 90.00 | stop_temp: 20.00 | Loss: -0.5636 | Best perf: -0.5636[Iter 2] cur_temp: 81.00 | stop_temp: 20.00 | Loss: -0.7681 | Best perf: -0.5636[Iter 3] cur_temp: 72.90 | stop_temp: 20.00 | Loss: -1.9935 | Best perf: -0.5636[Iter 4] cur_temp: 65.61 | stop_temp: 20.00 | Loss: -2.9744 | Best perf: -0.5636[Iter 5] cur_temp: 59.05 | stop_temp: 20.00 | Loss: -0.7681 | Best perf: -0.5636[Iter 6] cur_temp: 53.14 | stop_temp: 20.00 | Loss: -0.5636 | Best perf: -0.5636[Iter 7] cur_temp: 47.83 | stop_temp: 20.00 | Loss: -1.9935 | Best perf: -0.5636[Iter 8] cur_temp: 43.05 | stop_temp: 20.00 | Loss: -1.9935 | Best perf: -0.5636[Iter 9] cur_temp: 38.74 | stop_temp: 20.00 | Loss: -0.6774 | Best perf: -0.5636[Iter 10] cur_temp: 34.87 | stop_temp: 20.00 | Loss: -0.7681 | Best perf: -0.5636[Iter 11] cur_temp: 31.38 | stop_temp: 20.00 | Loss: -0.7681 | Best perf: -0.5636[Iter 12] cur_temp: 28.24 | stop_temp: 20.00 | Loss: -0.5211 | Best perf: -0.5211[Iter 13] cur_temp: 25.42 | stop_temp: 20.00 | Loss: -0.7681 | Best perf: -0.5211[Iter 14] cur_temp: 22.88 | stop_temp: 20.00 | Loss: -0.9677 | Best perf: -0.5211[Iter 15] cur_temp: 20.59 | stop_temp: 20.00 | Loss: -0.5636 | Best perf: -0.5211
------------------------------------------------------------------
- Intermittent-aware weight pruning info:
- Layer 0:        162 /        324 (50.0%) weights are pruned
- Layer 1:        756 /       1296 (58.3%) weights are pruned
- Layer 2:       3456 /       5184 (66.7%) weights are pruned
- Layer 3:       2752 /       6912 (39.8%) weights are pruned
- Total  :       7126 /      13716 (52.0%) weights are pruned
------------------------------------------------------------------

[Epoch: 1| Loss: 0.3039| Accuracy: 89.31| Best Accuracy: 89.31]
[Epoch: 2| Loss: 0.2651| Accuracy: 90.97| Best Accuracy: 90.97]
[Epoch: 3| Loss: 0.2666| Accuracy: 91.08| Best Accuracy: 91.08]
[Epoch: 4| Loss: 0.2677| Accuracy: 90.87| Best Accuracy: 91.08]
[Epoch: 5| Loss: 0.2663| Accuracy: 91.14| Best Accuracy: 91.14]
[Epoch: 6| Loss: 0.2645| Accuracy: 91.35| Best Accuracy: 91.35]
[Epoch: 7| Loss: 0.2631| Accuracy: 91.42| Best Accuracy: 91.42]
[Epoch: 8| Loss: 0.2623| Accuracy: 91.52| Best Accuracy: 91.52]
[Epoch: 9| Loss: 0.2618| Accuracy: 91.48| Best Accuracy: 91.52]
[Epoch: 10| Loss: 0.2613| Accuracy: 91.52| Best Accuracy: 91.52]
[Epoch: 11| Loss: 0.2608| Accuracy: 91.69| Best Accuracy: 91.69]
[Epoch: 12| Loss: 0.2604| Accuracy: 91.65| Best Accuracy: 91.69]
[Epoch: 13| Loss: 0.2600| Accuracy: 91.72| Best Accuracy: 91.72]
[Epoch: 14| Loss: 0.2596| Accuracy: 91.65| Best Accuracy: 91.72]
[Epoch: 15| Loss: 0.2593| Accuracy: 91.58| Best Accuracy: 91.72]
[Epoch: 16| Loss: 0.2590| Accuracy: 91.62| Best Accuracy: 91.72]
[Epoch: 17| Loss: 0.2588| Accuracy: 91.65| Best Accuracy: 91.72]
[Epoch: 18| Loss: 0.2586| Accuracy: 91.62| Best Accuracy: 91.72]
[Epoch: 19| Loss: 0.2584| Accuracy: 91.58| Best Accuracy: 91.72]
[Epoch: 20| Loss: 0.2582| Accuracy: 91.58| Best Accuracy: 91.72]
[Epoch: 21| Loss: 0.2581| Accuracy: 91.69| Best Accuracy: 91.72]
[Epoch: 22| Loss: 0.2580| Accuracy: 91.72| Best Accuracy: 91.72]
[Epoch: 23| Loss: 0.2579| Accuracy: 91.79| Best Accuracy: 91.79]
[Epoch: 24| Loss: 0.2578| Accuracy: 91.82| Best Accuracy: 91.82]
[Epoch: 25| Loss: 0.2577| Accuracy: 91.75| Best Accuracy: 91.82]
[Epoch: 26| Loss: 0.2576| Accuracy: 91.75| Best Accuracy: 91.82]
[Epoch: 27| Loss: 0.2576| Accuracy: 91.75| Best Accuracy: 91.82]
[Epoch: 28| Loss: 0.2575| Accuracy: 91.86| Best Accuracy: 91.86]
[Epoch: 29| Loss: 0.2575| Accuracy: 91.79| Best Accuracy: 91.86]
[Epoch: 30| Loss: 0.2575| Accuracy: 91.82| Best Accuracy: 91.86]
[Epoch: 31| Loss: 0.2574| Accuracy: 91.86| Best Accuracy: 91.86]
[Epoch: 32| Loss: 0.2574| Accuracy: 91.86| Best Accuracy: 91.86]
[Epoch: 33| Loss: 0.2574| Accuracy: 91.86| Best Accuracy: 91.86]
[Epoch: 34| Loss: 0.2574| Accuracy: 91.86| Best Accuracy: 91.86]
[Epoch: 35| Loss: 0.2574| Accuracy: 91.86| Best Accuracy: 91.86]
[Epoch: 36| Loss: 0.2573| Accuracy: 91.86| Best Accuracy: 91.86]
[Epoch: 37| Loss: 0.2573| Accuracy: 91.86| Best Accuracy: 91.86]
[Epoch: 38| Loss: 0.2573| Accuracy: 91.86| Best Accuracy: 91.86]
[Epoch: 39| Loss: 0.2573| Accuracy: 91.92| Best Accuracy: 91.92]
[Epoch: 40| Loss: 0.2573| Accuracy: 91.92| Best Accuracy: 91.92]
[Epoch: 41| Loss: 0.2572| Accuracy: 91.96| Best Accuracy: 91.96]
[Epoch: 42| Loss: 0.2572| Accuracy: 91.96| Best Accuracy: 91.96]
[Epoch: 43| Loss: 0.2572| Accuracy: 91.96| Best Accuracy: 91.96]
