
==> Dump Arguments:
pruning method: energy
visible gpus: 7
sensitivity analysis: OFF
overall pruning ratio: 0.2
stage: 2

0
0

==> Setting params:
batch_size : 600
test_batch_size : 600
epochs : 500
lr_epochs : 500
lr : 0.0001
momentum : 0.9
weight_decay : 0.0001
no_cuda : False
seed : 1
log_interval : 100
arch : HAR
pretrained : saved_models/energy/HAR/stage_1.pth.tar
evaluate : False
retrain : False
prune : energy
prune_shape : vector
prune_target : None
stage : 2
debug : -1
candidates_pruning_ratios : [0.0, 0.0, 0.0, 0.0]
gpus : [0]
visible_gpus : 7
learning_rate_list : [0.0001]
sa : True
sen_ana : False
overall_pruning_ratio : 0.2
cuda : False
====================

Download HAR dataset ...
Download HAR dataset ...
HAR_CNN(
  (conv1): Conv2d(9, 18, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv1): ReLU()
  (pool1): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(18, 36, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv2): ReLU()
  (pool2): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv3): Conv2d(36, 72, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv3): ReLU()
  (pool3): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (ip1): Linear(in_features=1152, out_features=6, bias=True)
)
==> Start pruning ...
[0.0005401202893587232, 0.0005540911145185848, 0.000725072806727329, 0.000309401279761819]
===> Starting Simulated Annealing...
[Iter 0] cur_temp: 100.00 | stop_temp: 20.00 | Loss: -inf | Best perf: -inf[Iter 1] cur_temp: 90.00 | stop_temp: 20.00 | Loss: -2.5219 | Best perf: -2.5219[Iter 2] cur_temp: 81.00 | stop_temp: 20.00 | Loss: -3.2469 | Best perf: -2.5219[Iter 3] cur_temp: 72.90 | stop_temp: 20.00 | Loss: -2.5219 | Best perf: -2.5219[Iter 4] cur_temp: 65.61 | stop_temp: 20.00 | Loss: -2.7001 | Best perf: -2.5219[Iter 5] cur_temp: 59.05 | stop_temp: 20.00 | Loss: -3.2469 | Best perf: -2.5219[Iter 6] cur_temp: 53.14 | stop_temp: 20.00 | Loss: -3.1221 | Best perf: -2.5219[Iter 7] cur_temp: 47.83 | stop_temp: 20.00 | Loss: -3.2469 | Best perf: -2.5219[Iter 8] cur_temp: 43.05 | stop_temp: 20.00 | Loss: -2.5219 | Best perf: -2.5219[Iter 9] cur_temp: 38.74 | stop_temp: 20.00 | Loss: -1.4318 | Best perf: -1.4318[Iter 10] cur_temp: 34.87 | stop_temp: 20.00 | Loss: -1.4318 | Best perf: -1.4318[Iter 11] cur_temp: 31.38 | stop_temp: 20.00 | Loss: -1.4318 | Best perf: -1.4318[Iter 12] cur_temp: 28.24 | stop_temp: 20.00 | Loss: -1.9824 | Best perf: -1.4318[Iter 13] cur_temp: 25.42 | stop_temp: 20.00 | Loss: -2.5219 | Best perf: -1.4318[Iter 14] cur_temp: 22.88 | stop_temp: 20.00 | Loss: -2.5219 | Best perf: -1.4318[Iter 15] cur_temp: 20.59 | stop_temp: 20.00 | Loss: -1.8513 | Best perf: -1.4318
------------------------------------------------------------------
- Intermittent-aware weight pruning info:
- Layer 0:          0 /        324 ( 0.0%) weights are pruned
- Layer 1:        756 /       1296 (58.3%) weights are pruned
- Layer 2:       3672 /       5184 (70.8%) weights are pruned
- Layer 3:       1184 /       6912 (17.1%) weights are pruned
- Total  :       5612 /      13716 (40.9%) weights are pruned
------------------------------------------------------------------

[Epoch: 1| Loss: 0.9643| Accuracy: 70.31| Best Accuracy: 70.31]
[Epoch: 2| Loss: 0.5836| Accuracy: 75.98| Best Accuracy: 75.98]
[Epoch: 3| Loss: 0.3984| Accuracy: 85.34| Best Accuracy: 85.34]
[Epoch: 4| Loss: 0.3548| Accuracy: 87.95| Best Accuracy: 87.95]
[Epoch: 5| Loss: 0.3339| Accuracy: 89.11| Best Accuracy: 89.11]
[Epoch: 6| Loss: 0.3209| Accuracy: 89.18| Best Accuracy: 89.18]
[Epoch: 7| Loss: 0.3126| Accuracy: 89.14| Best Accuracy: 89.18]
[Epoch: 8| Loss: 0.3061| Accuracy: 89.14| Best Accuracy: 89.18]
[Epoch: 9| Loss: 0.3008| Accuracy: 89.04| Best Accuracy: 89.18]
[Epoch: 10| Loss: 0.2961| Accuracy: 89.18| Best Accuracy: 89.18]
[Epoch: 11| Loss: 0.2921| Accuracy: 89.24| Best Accuracy: 89.24]
[Epoch: 12| Loss: 0.2884| Accuracy: 89.28| Best Accuracy: 89.28]
[Epoch: 13| Loss: 0.2852| Accuracy: 89.28| Best Accuracy: 89.28]
[Epoch: 14| Loss: 0.2823| Accuracy: 89.38| Best Accuracy: 89.38]
[Epoch: 15| Loss: 0.2797| Accuracy: 89.51| Best Accuracy: 89.51]
[Epoch: 16| Loss: 0.2773| Accuracy: 89.55| Best Accuracy: 89.55]
[Epoch: 17| Loss: 0.2751| Accuracy: 89.55| Best Accuracy: 89.55]
[Epoch: 18| Loss: 0.2732| Accuracy: 89.62| Best Accuracy: 89.62]
[Epoch: 19| Loss: 0.2714| Accuracy: 89.62| Best Accuracy: 89.62]
[Epoch: 20| Loss: 0.2698| Accuracy: 89.72| Best Accuracy: 89.72]
[Epoch: 21| Loss: 0.2683| Accuracy: 89.79| Best Accuracy: 89.79]
[Epoch: 22| Loss: 0.2669| Accuracy: 89.92| Best Accuracy: 89.92]
[Epoch: 23| Loss: 0.2657| Accuracy: 89.96| Best Accuracy: 89.96]
[Epoch: 24| Loss: 0.2645| Accuracy: 89.99| Best Accuracy: 89.99]
[Epoch: 25| Loss: 0.2635| Accuracy: 90.02| Best Accuracy: 90.02]
[Epoch: 26| Loss: 0.2625| Accuracy: 90.16| Best Accuracy: 90.16]
[Epoch: 27| Loss: 0.2617| Accuracy: 90.19| Best Accuracy: 90.19]
[Epoch: 28| Loss: 0.2609| Accuracy: 90.26| Best Accuracy: 90.26]
[Epoch: 29| Loss: 0.2601| Accuracy: 90.40| Best Accuracy: 90.40]
[Epoch: 30| Loss: 0.2595| Accuracy: 90.53| Best Accuracy: 90.53]
[Epoch: 31| Loss: 0.2588| Accuracy: 90.50| Best Accuracy: 90.53]
[Epoch: 32| Loss: 0.2583| Accuracy: 90.53| Best Accuracy: 90.53]
[Epoch: 33| Loss: 0.2577| Accuracy: 90.53| Best Accuracy: 90.53]
[Epoch: 34| Loss: 0.2573| Accuracy: 90.60| Best Accuracy: 90.60]
[Epoch: 35| Loss: 0.2568| Accuracy: 90.60| Best Accuracy: 90.60]
[Epoch: 36| Loss: 0.2564| Accuracy: 90.67| Best Accuracy: 90.67]
[Epoch: 37| Loss: 0.2561| Accuracy: 90.77| Best Accuracy: 90.77]
[Epoch: 38| Loss: 0.2557| Accuracy: 90.87| Best Accuracy: 90.87]
[Epoch: 39| Loss: 0.2554| Accuracy: 90.84| Best Accuracy: 90.87]
[Epoch: 40| Loss: 0.2551| Accuracy: 90.84| Best Accuracy: 90.87]
[Epoch: 41| Loss: 0.2549| Accuracy: 90.84| Best Accuracy: 90.87]
[Epoch: 42| Loss: 0.2546| Accuracy: 90.80| Best Accuracy: 90.87]
[Epoch: 43| Loss: 0.2544| Accuracy: 90.84| Best Accuracy: 90.87]
