
==> Dump Arguments:
pruning method: intermittent
visible gpus: 7
sensitivity analysis: OFF
overall pruning ratio: 0.2
stage: 1

0
0

==> Setting params:
batch_size : 600
test_batch_size : 600
epochs : 500
lr_epochs : 500
lr : 0.0001
momentum : 0.9
weight_decay : 0.0001
no_cuda : False
seed : 1
log_interval : 100
arch : HAR
pretrained : saved_models/intermittent/HAR/stage_0.pth.tar
evaluate : False
retrain : False
prune : intermittent
prune_shape : vector
prune_target : None
stage : 1
debug : -1
candidates_pruning_ratios : [0.0, 0.0, 0.0, 0.0]
gpus : [0]
visible_gpus : 7
learning_rate_list : [0.0001]
sa : True
sen_ana : False
overall_pruning_ratio : 0.2
cuda : False
====================

Download HAR dataset ...
Download HAR dataset ...
HAR_CNN(
  (conv1): Conv2d(9, 18, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv1): ReLU()
  (pool1): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(18, 36, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv2): ReLU()
  (pool2): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv3): Conv2d(36, 72, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv3): ReLU()
  (pool3): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (ip1): Linear(in_features=1152, out_features=6, bias=True)
)
==> Start pruning ...
[4608, 3840, 3264, 394]
===> Starting Simulated Annealing...
[Iter 0] cur_temp: 100.00 | stop_temp: 20.00 | Loss: -inf | Best perf: -inf[Iter 1] cur_temp: 90.00 | stop_temp: 20.00 | Loss: -1.0662 | Best perf: -1.0662[Iter 2] cur_temp: 81.00 | stop_temp: 20.00 | Loss: -1.8114 | Best perf: -1.0662[Iter 3] cur_temp: 72.90 | stop_temp: 20.00 | Loss: -2.1784 | Best perf: -1.0662[Iter 4] cur_temp: 65.61 | stop_temp: 20.00 | Loss: -1.6614 | Best perf: -1.0662[Iter 5] cur_temp: 59.05 | stop_temp: 20.00 | Loss: -2.6905 | Best perf: -1.0662[Iter 6] cur_temp: 53.14 | stop_temp: 20.00 | Loss: -2.6784 | Best perf: -1.0662[Iter 7] cur_temp: 47.83 | stop_temp: 20.00 | Loss: -4.9238 | Best perf: -1.0662[Iter 8] cur_temp: 43.05 | stop_temp: 20.00 | Loss: -4.6678 | Best perf: -1.0662[Iter 9] cur_temp: 38.74 | stop_temp: 20.00 | Loss: -1.6584 | Best perf: -1.0662[Iter 10] cur_temp: 34.87 | stop_temp: 20.00 | Loss: -2.2482 | Best perf: -1.0662[Iter 11] cur_temp: 31.38 | stop_temp: 20.00 | Loss: -1.0806 | Best perf: -1.0662[Iter 12] cur_temp: 28.24 | stop_temp: 20.00 | Loss: -1.7850 | Best perf: -1.0662[Iter 13] cur_temp: 25.42 | stop_temp: 20.00 | Loss: -2.1255 | Best perf: -1.0662[Iter 14] cur_temp: 22.88 | stop_temp: 20.00 | Loss: -2.1404 | Best perf: -1.0662[Iter 15] cur_temp: 20.59 | stop_temp: 20.00 | Loss: -2.5009 | Best perf: -1.0662
------------------------------------------------------------------
- Intermittent-aware weight pruning info:
- Layer 0:        108 /        324 (33.3%) weights are pruned
- Layer 1:        432 /       1296 (33.3%) weights are pruned
- Layer 2:       2376 /       5184 (45.8%) weights are pruned
- Layer 3:       1696 /       6912 (24.5%) weights are pruned
- Total  :       4612 /      13716 (33.6%) weights are pruned
------------------------------------------------------------------

[Epoch: 1| Loss: 0.5914| Accuracy: 80.25| Best Accuracy: 80.25]
[Epoch: 2| Loss: 0.4780| Accuracy: 83.37| Best Accuracy: 83.37]
[Epoch: 3| Loss: 0.4134| Accuracy: 84.83| Best Accuracy: 84.83]
[Epoch: 4| Loss: 0.3727| Accuracy: 85.85| Best Accuracy: 85.85]
[Epoch: 5| Loss: 0.3481| Accuracy: 86.19| Best Accuracy: 86.19]
[Epoch: 6| Loss: 0.3324| Accuracy: 86.70| Best Accuracy: 86.70]
[Epoch: 7| Loss: 0.3209| Accuracy: 87.82| Best Accuracy: 87.82]
[Epoch: 8| Loss: 0.3120| Accuracy: 88.36| Best Accuracy: 88.36]
[Epoch: 9| Loss: 0.3051| Accuracy: 88.53| Best Accuracy: 88.53]
[Epoch: 10| Loss: 0.2996| Accuracy: 88.67| Best Accuracy: 88.67]
[Epoch: 11| Loss: 0.2950| Accuracy: 88.63| Best Accuracy: 88.67]
[Epoch: 12| Loss: 0.2912| Accuracy: 88.77| Best Accuracy: 88.77]
[Epoch: 13| Loss: 0.2879| Accuracy: 88.84| Best Accuracy: 88.84]
[Epoch: 14| Loss: 0.2850| Accuracy: 89.04| Best Accuracy: 89.04]
[Epoch: 15| Loss: 0.2826| Accuracy: 89.18| Best Accuracy: 89.18]
[Epoch: 16| Loss: 0.2804| Accuracy: 89.24| Best Accuracy: 89.24]
[Epoch: 17| Loss: 0.2784| Accuracy: 89.38| Best Accuracy: 89.38]
[Epoch: 18| Loss: 0.2766| Accuracy: 89.55| Best Accuracy: 89.55]
[Epoch: 19| Loss: 0.2750| Accuracy: 89.65| Best Accuracy: 89.65]
[Epoch: 20| Loss: 0.2736| Accuracy: 89.72| Best Accuracy: 89.72]
[Epoch: 21| Loss: 0.2722| Accuracy: 89.79| Best Accuracy: 89.79]
[Epoch: 22| Loss: 0.2710| Accuracy: 89.75| Best Accuracy: 89.79]
[Epoch: 23| Loss: 0.2698| Accuracy: 89.82| Best Accuracy: 89.82]
[Epoch: 24| Loss: 0.2687| Accuracy: 90.02| Best Accuracy: 90.02]
[Epoch: 25| Loss: 0.2677| Accuracy: 90.19| Best Accuracy: 90.19]
[Epoch: 26| Loss: 0.2667| Accuracy: 90.30| Best Accuracy: 90.30]
[Epoch: 27| Loss: 0.2657| Accuracy: 90.43| Best Accuracy: 90.43]
[Epoch: 28| Loss: 0.2649| Accuracy: 90.46| Best Accuracy: 90.46]
[Epoch: 29| Loss: 0.2641| Accuracy: 90.50| Best Accuracy: 90.50]
[Epoch: 30| Loss: 0.2633| Accuracy: 90.46| Best Accuracy: 90.50]
[Epoch: 31| Loss: 0.2625| Accuracy: 90.50| Best Accuracy: 90.50]
[Epoch: 32| Loss: 0.2618| Accuracy: 90.50| Best Accuracy: 90.50]
[Epoch: 33| Loss: 0.2612| Accuracy: 90.50| Best Accuracy: 90.50]
[Epoch: 34| Loss: 0.2605| Accuracy: 90.60| Best Accuracy: 90.60]
[Epoch: 35| Loss: 0.2599| Accuracy: 90.60| Best Accuracy: 90.60]
[Epoch: 36| Loss: 0.2594| Accuracy: 90.57| Best Accuracy: 90.60]
[Epoch: 37| Loss: 0.2588| Accuracy: 90.57| Best Accuracy: 90.60]
[Epoch: 38| Loss: 0.2583| Accuracy: 90.63| Best Accuracy: 90.63]
[Epoch: 39| Loss: 0.2578| Accuracy: 90.67| Best Accuracy: 90.67]
[Epoch: 40| Loss: 0.2573| Accuracy: 90.70| Best Accuracy: 90.70]
[Epoch: 41| Loss: 0.2568| Accuracy: 90.70| Best Accuracy: 90.70]
[Epoch: 42| Loss: 0.2563| Accuracy: 90.70| Best Accuracy: 90.70]
[Epoch: 43| Loss: 0.2559| Accuracy: 90.77| Best Accuracy: 90.77]
